,Yahoo News Headline,Link to Headline,Publication,MB/FC Slant,Rank Number,Date Recorded,Within 24 Hours?
0,"'The sky is not falling': Provincetown outbreak shows vaccines work, even against Delta",https://news.yahoo.com//eight-hundred-cases-seven-hospitalizations-and-no-deaths-the-provincetown-outbreak-shows-vaccines-work-125324207.html,Yahoo News,LEFT-CENTER BIAS,1,"July 30, 2021",True
1,The Vessel attraction in N.Y.C. closes again after another suicide,https://news.yahoo.com//vessel-attraction-nyc-closes-again-203100768.html,NBC News,LEFT-CENTER BIAS,2,"July 30, 2021",False
2,Some restaurants may not survive renewed mask mandates,https://news.yahoo.com//restaurants-may-not-survive-renewed-112839796.html,Washington Post,LEFT-CENTER BIAS,3,"July 30, 2021",True
3,"Rep. Madison Cawthorn tried to board plane with gun; could face fine, status loss",https://news.yahoo.com//rep-madison-cawthorn-tried-board-005649049.html,USA TODAY,LEFT-CENTER BIAS,4,"July 30, 2021",True
4,U.S. sues Texas over Abbott order restricting transportation of undocumented immigrants,https://news.yahoo.com//u-sues-texas-over-abbott-223100254.html,NBC News,LEFT-CENTER BIAS,5,"July 30, 2021",True
5,Sarah Ferguson speaks out on Duchess Meghan and why she would marry Prince Andrew 'all over again',https://www.yahoo.com/gma/sarah-ferguson-speaks-duchess-meghan-122200394.html,Good Morning America,LEFT-CENTER BIAS,6,"July 30, 2021",True
6,Katie Ledecky won another gold medal and then laughed in the face of a reporter who asked if she was retiring,https://news.yahoo.com//katie-ledecky-won-another-gold-024540415.html,INSIDER,LEFT-CENTER BIAS,7,"July 30, 2021",True
7,Minnesota woman found beheaded on sidewalk,https://news.yahoo.com//minnesota-woman-found-beheaded-sidewalk-012700198.html,Washington Examiner,RIGHT BIAS,8,"July 30, 2021",False
8,‘Fully Moderna vaccinated’: Miami businesswoman diagnosed with breakthrough COVID,https://news.yahoo.com//fully-moderna-vaccinated-miami-businesswoman-195803545.html,Miami Herald,LEFT-CENTER BIAS,9,"July 30, 2021",True
9,"A company that owns 40 Burger Kings had to pay $459,000 to workers after it denied them sick leave, in Chicago's largest-ever labor-law fine",https://news.yahoo.com//company-owns-40-burger-kings-152000434.html,Business Insider,LEFT-CENTER BIAS,10,"July 30, 2021",True
10,"Simone Biles' ADHD medication is banned in Japan, but a Tokyo 2020 exemption allowed them for athletes",https://news.yahoo.com//simone-biles-couldnt-bring-her-185400413.html,INSIDER,LEFT-CENTER BIAS,11,"July 30, 2021",True
11,"Meet the typical Chinese millennial, who makes $22,000 a year but has no student debt, grew up in an economic boom, and has learned how to outhustle everyone else",https://news.yahoo.com//meet-typical-chinese-millennial-makes-080455153.html,INSIDER,LEFT-CENTER BIAS,12,"July 30, 2021",True
