,Yahoo News Headline,Link to Headline,Publication,MB/FC Slant,Rank Number,Date Recorded,Within 24 Hours?
0,Is This the End of Summer as We've Known It?,https://news.yahoo.com//end-summer-weve-known-181857950.html,The New York Times,LEFT-CENTER BIAS,1,"July 28, 2021",True
1,"Biden Hater's Banners That Town Called Obscene Can Stay Up, Court Rules",https://news.yahoo.com//biden-haters-banners-town-called-121119332.html,The New York Times,LEFT-CENTER BIAS,2,"July 28, 2021",True
2,'Abhorrent': State Department to investigate swastika etched into elevator wall at the agency,https://news.yahoo.com//completely-abhorrent-state-department-investigate-190415371.html,USA TODAY,LEFT-CENTER BIAS,3,"July 28, 2021",False
3,Want a Vaccine Reservation in South Korea? Try Waiting 111 Hours.,https://news.yahoo.com//want-vaccine-reservation-south-korea-121129482.html,The New York Times,LEFT-CENTER BIAS,4,"July 28, 2021",True
4,Iowa Gov. Kim Reynolds blames unvaccinated migrants for recent Covid spike,https://news.yahoo.com//iowa-gov-kim-reynolds-blames-150800150.html,NBC News,LEFT-CENTER BIAS,5,"July 28, 2021",True
5,Republicans Are Blaming Pelosi for Jan. 6 Attack. Their Claims Don't Add Up.,https://news.yahoo.com//republicans-blaming-pelosi-jan-6-122152539.html,The New York Times,LEFT-CENTER BIAS,6,"July 28, 2021",True
6,Marilyn Manson's attorneys ask for 'Game of Thrones' actress Esmé Bianco's sexual assault claims to be thrown out because of California's statute of limitations law,https://news.yahoo.com//marilyn-mansons-attorneys-ask-game-022739670.html,INSIDER,LEFT-CENTER BIAS,7,"July 28, 2021",True
7,A TV commentator was fired for saying South Korean table tennis Olympians have eyes so 'narrow' he can't understand 'how they can see the ball',https://news.yahoo.com//tv-commentator-fired-saying-south-024904377.html,INSIDER,LEFT-CENTER BIAS,8,"July 28, 2021",True
8,"Report: Larry Nassar has spent $10,000 on himself in prison, but paid victims only $300",https://news.yahoo.com//report-larry-nassar-spent-10-000949400.html,Axios,LEFT-CENTER BIAS,9,"July 28, 2021",True
9,Hollywood actress Susan Sarandon joins protest outside AOC's office: 'We’re losing hope here that you represent us',https://news.yahoo.com//hollywood-actress-susan-sarandon-joins-005200368.html,Washington Examiner,RIGHT BIAS,10,"July 28, 2021",True
10,Here's how seawater could be answer to California's drought,https://news.yahoo.com//heres-seawater-could-answer-californias-001218097.html,KGO – San Francisco,LEFT-CENTER BIAS,11,"July 28, 2021",True
11,Florida county that's home to Disney World declares 'state of emergency' over surge in the Delta variant,https://news.yahoo.com//florida-county-thats-home-disney-222352551.html,Business Insider,LEFT-CENTER BIAS,12,"July 28, 2021",True
12,TikTok star Anthony Barajas is in intensive care and an 18-year-old is dead after a shooting at a California movie theater,https://news.yahoo.com//tiktok-star-anthony-barajas-intensive-180512510.html,INSIDER,LEFT-CENTER BIAS,13,"July 28, 2021",True
13,"An Iranian athlete left his country after being told to lose on purpose, won silver at the Olympics for Mongolia, and dedicated the medal to Israel",https://news.yahoo.com//iranian-athlete-left-country-being-151214644.html,INSIDER,LEFT-CENTER BIAS,14,"July 28, 2021",True
14,"Welcome to Miami? A weird-looking, noodle-shaped animal was just found in a canal",https://news.yahoo.com//welcome-miami-weird-looking-noodle-174825098.html,Miami Herald,LEFT-CENTER BIAS,15,"July 28, 2021",True
15,"Meet the typical Costco shopper, a 39-year-old Asian American woman earning more than $125,000 a year",https://news.yahoo.com//meet-typical-costco-shopper-39-160228099.html,Business Insider,LEFT-CENTER BIAS,16,"July 28, 2021",True
16,Ex-Missouri police chief pleads guilty to beating man who allegedly tried to drown baby,https://news.yahoo.com//ex-missouri-police-chief-pleads-010537218.html,Kansas City Star,LEFT-CENTER BIAS,17,"July 28, 2021",True
17,"A Google executive in Singapore who has 40 hours of meetings a week told us how she avoids burnout, and it includes 5 pieces of 'calendar magic'",https://news.yahoo.com//google-executive-singapore-40-hours-090258870.html,Business Insider,LEFT-CENTER BIAS,18,"July 28, 2021",False
18,A mom set a world record by delivering 9 babies. Her stomach weighed 65 pounds during pregnancy.,https://news.yahoo.com//mom-set-world-record-delivering-191103506.html,INSIDER,LEFT-CENTER BIAS,19,"July 28, 2021",True
19,Conservative YouTuber Steven Crowder said that he could 'physically feel death' several days after a 'mild lung collapse',https://news.yahoo.com//youtuber-steven-crowder-said-could-155359187.html,INSIDER,LEFT-CENTER BIAS,20,"July 28, 2021",True
