,Yahoo News Headline,Link to Headline,Publication,MB/FC Slant,Rank Number,Date Recorded,Within 24 Hours?
0,"Russia sets stage for enticing gymnastics final by outscoring Simone Biles, Team USA in qualifying",https://sports.yahoo.com/simone-biles-team-usa-finish-second-to-russia-in-womens-gymnastics-in-qualifying-090723115.html,Yahoo Sports,LEFT-CENTER BIAS,1,"July 25, 2021",True
1,"Burned by Hot Housing Market, Some Buyers Back Off",https://news.yahoo.com//burned-hot-housing-market-buyers-140916237.html,The New York Times,LEFT-CENTER BIAS,2,"July 25, 2021",True
2,Americans' optimism about country's direction over next year drops nearly 20 points since May: POLL,https://www.yahoo.com/gma/americans-optimism-countrys-direction-over-110100639.html,Good Morning America,LEFT-CENTER BIAS,3,"July 25, 2021",True
3,The Most Influential Spreader of Coronavirus Misinformation Online,https://news.yahoo.com//most-influential-spreader-coronavirus-misinformation-141227038.html,The New York Times,LEFT-CENTER BIAS,4,"July 25, 2021",True
4,One nation under fire: A week's glance at gun violence ripping across America,https://www.yahoo.com/gma/one-nation-under-fire-weeks-132236894.html,Good Morning America,LEFT-CENTER BIAS,5,"July 25, 2021",True
5,"Buy My House, But I'm Taking the Toilet",https://news.yahoo.com//buy-house-im-taking-toilet-141636584.html,The New York Times,LEFT-CENTER BIAS,6,"July 25, 2021",True
6,A Mexican state suffers bloody fallout of cartel rivalry,https://news.yahoo.com//mexican-state-suffers-bloody-fallout-040001546.html,Associated Press,LEAST BIASED,7,"July 25, 2021",True
7,Afghanistan curfew imposed as Taliban militants advance,https://news.yahoo.com//afghanistan-curfew-imposed-taliban-militants-151207065.html,BBC,LEFT-CENTER BIAS,8,"July 25, 2021",True
8,"New Zealand to accept alleged Islamic State militant, 2 kids",https://news.yahoo.com//zealand-accept-alleged-islamic-state-034208188.html,Associated Press,LEAST BIASED,9,"July 25, 2021",True
9,"With eye on China, Pentagon chief heads to Southeast Asia",https://news.yahoo.com//eye-china-pentagon-chief-heads-041447021.html,Reuters,LEAST BIASED,10,"July 25, 2021",True
10,India landslide: Nine tourists killed as boulders fall from hilltop,https://news.yahoo.com//india-landslide-nine-tourists-killed-150059149.html,BBC,LEFT-CENTER BIAS,11,"July 25, 2021",True
