,Yahoo News Headline,Link to Headline,Publication,MB/FC Slant,Rank Number,Date Recorded,Within 24 Hours?
0,Exclusive-'QAnon Shaman' in plea negotiations after mental health diagnosis -lawyer,https://news.yahoo.com//exclusive-qanon-shaman-plea-negotiations-100653663.html,Reuters,LEAST BIASED,1,"July 23, 2021",True
1,A priest's phone location data outed his private life. It could happen to anyone.,https://www.yahoo.com/lifestyle/priests-phone-location-data-outed-223808426.html,Washington Post,LEFT-CENTER BIAS,2,"July 23, 2021",False
2,"Southern California cities rebel against new mask mandate, hinting at delta variant drama to come",https://news.yahoo.com//southern-california-cities-rebel-against-190121857.html,Washington Post,LEFT-CENTER BIAS,3,"July 23, 2021",False
3,A Grizzly Bear Terrorized a Man for Days in Alaska. The Coast Guard Saw His SOS.,https://news.yahoo.com//grizzly-bear-terrorized-man-days-121007359.html,The New York Times,LEFT-CENTER BIAS,4,"July 23, 2021",True
4,Cleveland Indians announce franchise's new name: the Guardians,https://sports.yahoo.com/cleveland-indians-announce-franchises-new-name-the-guardians-140148762.html,Yahoo Sports,LEFT-CENTER BIAS,5,"July 23, 2021",True
5,"After Recent 'Heat Dome,' Washington Issues Warning Not to Eat Raw Shellfish",https://news.yahoo.com//recent-heat-dome-washington-issues-121302393.html,The New York Times,LEFT-CENTER BIAS,6,"July 23, 2021",True
6,Exclusive: Jan. 6 select committee will include former CIA inspector general found to have retaliated against whistleblower,https://news.yahoo.com//exclusive-jan-6-select-committee-will-include-former-cia-inspector-general-found-to-have-retaliated-against-whistleblower-211238170.html,Yahoo News,LEFT-CENTER BIAS,7,"July 23, 2021",True
7,China's Zhengzhou begins cleanup after deadly storms,https://news.yahoo.com//chinas-zhengzhou-begins-cleanup-storms-103635570.html,Associated Press,LEAST BIASED,8,"July 23, 2021",False
8,Venezuela says U.S. military plane violated its airspace,https://news.yahoo.com//venezuela-says-u-military-plane-231246725.html,Reuters,LEAST BIASED,9,"July 23, 2021",True
9,Husky seen running after car when he’s abandoned is saved – and Texas man is arrested,https://news.yahoo.com//husky-seen-running-car-abandoned-001926080.html,Fort Worth Star-Telegram,RIGHT-CENTER BIAS,10,"July 23, 2021",True
10,"To reach a peace deal, Taliban say Afghan president must go",https://news.yahoo.com//reach-peace-deal-taliban-afghan-060957044.html,Associated Press,LEAST BIASED,11,"July 23, 2021",False
11,China's Sinovac evaluates vaccine plant in Chile,https://news.yahoo.com//chinas-sinovac-evaluates-vaccine-plant-195811879.html,Reuters,LEAST BIASED,12,"July 23, 2021",True
12,What the far-right's charge to remove Pelosi could mean for Kevin McCarthy,https://news.yahoo.com//far-rights-charge-remove-pelosi-170856416.html,The Week,LEFT BIAS,13,"July 23, 2021",True
13,"Body of Arlington firefighter was found in bathroom window, Mexican authorities say",https://news.yahoo.com//body-arlington-firefighter-found-bathroom-234551961.html,Fort Worth Star-Telegram,RIGHT-CENTER BIAS,14,"July 23, 2021",True
14,Biden stumps for McAuliffe in early test of political clout,https://news.yahoo.com//biden-stumps-mcauliffe-early-test-201844206.html,Associated Press,LEAST BIASED,15,"July 23, 2021",True
15,SpaceX lands NASA launch contract for mission to Jupiter's moon Europa,https://news.yahoo.com//spacex-lands-nasa-launch-contract-030631164.html,Reuters,LEAST BIASED,16,"July 23, 2021",True
16,A 'significant and far-reaching' heat wave is coming to the U.S. next week,https://news.yahoo.com//significant-far-reaching-heat-wave-153622707.html,The Week,LEFT BIAS,17,"July 23, 2021",True
17,SC police got phone data of Josephson’s alleged ‘fake Uber’ killer. Here’s what they found,https://news.yahoo.com//sc-police-got-phone-data-161412016.html,The State,LEFT-CENTER BIAS,18,"July 23, 2021",True
18,Search for bodies concludes at Surfside condo collapse site,https://news.yahoo.com//search-bodies-concludes-surfside-condo-214845328.html,Yahoo News Video,QUESTIONABLE SOURCE,19,"July 23, 2021",True
19,Poland a step closer to adopting controversial property law,https://news.yahoo.com//poland-step-closer-adopting-controversial-203852602.html,Associated Press,LEAST BIASED,20,"July 23, 2021",True
20,Afghan Air Force hurt by inoperable aircraft - Afghan lawmakers,https://news.yahoo.com//afghan-air-force-hurt-inoperable-181701268.html,Reuters,LEAST BIASED,21,"July 23, 2021",True
21,Bones found near area where missing British hiker Esther Dingley disappeared,https://news.yahoo.com//bones-found-near-area-where-175052488.html,The Telegraph,RIGHT BIAS,22,"July 23, 2021",True
22,Vietnam locks down capital Hanoi for 15 days as cases rise,https://news.yahoo.com//vietnam-locks-down-capital-hanoi-032426813.html,Associated Press,LEAST BIASED,23,"July 23, 2021",True
23,China imposes sanctions on US officials,https://news.yahoo.com//china-imposes-sanctions-us-officials-225503142.html,BBC,LEFT-CENTER BIAS,24,"July 23, 2021",True
24,Tokyo 2020 'axed opening ceremony musician for being black',https://news.yahoo.com//tokyo-2020-axed-opening-ceremony-205357039.html,The Telegraph,RIGHT BIAS,25,"July 23, 2021",True
25,Are COVID symptoms different with the delta variant? Here’s what experts say,https://news.yahoo.com//covid-symptoms-different-delta-variant-185023861.html,Miami Herald,LEFT-CENTER BIAS,26,"July 23, 2021",True
26,Trump's sway tested in race for open mid-Ohio US House seat,https://news.yahoo.com//trumps-sway-tested-race-open-114336014.html,Associated Press,LEAST BIASED,27,"July 23, 2021",True
27,"CDC says ‘superbug’ fungus has spread in Washington, D.C., and Dallas",https://news.yahoo.com//cdc-says-superbug-fungus-spread-202812229.html,Yahoo News Video,QUESTIONABLE SOURCE,28,"July 23, 2021",False
28,Dutch teen on space flight told Bezos he had never ordered from Amazon,https://news.yahoo.com//dutch-teen-space-flight-told-163423384.html,Reuters,LEAST BIASED,29,"July 23, 2021",True
29,Slovenia PM accuses EU official of lying over rule of law,https://news.yahoo.com//slovenia-pm-accuses-eu-official-154447938.html,Associated Press,LEAST BIASED,30,"July 23, 2021",True
